Rg,Spieler,Land,Pos,Verein,Alt,Geboren,90,SCA,SCA-90,AktivPass,ToterPass,Dribb.,Sc,Gef,Vert.,GCA,GCA-90,AktivPass,ToterPass,Dribb.,Sc,Gef,Vert.,ET,Spiele
377,Salif Sané\Salif-Sane,sn SEN,DF,Schalke 04,30-175,1990,8.5,6,071,5,0,0,1,0,0,0,000,0,0,0,0,0,0,0,Spiele
378,Baptiste Santamaria\Baptiste-Santamaria,fr FRA,MF,Freiburg,25-344,1995,15.9,25,158,19,0,1,2,2,1,3,019,2,0,0,1,0,0,0,Spiele
379,Josh Sargent\Josh-Sargent,us USA,FW,Werder Bremen,20-362,2000,16.9,38,225,24,0,4,4,5,1,4,024,1,0,0,1,1,1,0,Spiele
380,Bouna Sarr\Bouna-Sarr,gn GUI,DF,Bayern Munich,29-016,1992,3.6,3,100,2,0,1,0,0,0,1,033,1,0,0,0,0,0,0,Spiele
381,Patrik Schick\Patrik-Schick,cz CZE,FW,Leverkusen,25-023,1996,10.8,28,260,20,0,4,3,1,0,4,037,3,0,1,0,0,0,0,Spiele
382,Sven Schipplock\Sven-Schipplock,de GER,FWMF,Arminia,32-100,1988,6.8,14,206,11,0,1,0,2,0,1,015,1,0,0,0,0,0,0,Spiele
383,Xaver Schlager\Xaver-Schlager,at AUT,MF,Wolfsburg,23-141,1997,17.9,31,174,25,0,0,3,1,2,3,017,2,0,0,1,0,0,0,Spiele
384,Keven Schlotterbeck\Keven-Schlotterbeck,de GER,DF,Freiburg,23-294,1997,12.4,5,040,5,0,0,0,0,0,0,000,0,0,0,0,0,0,0,Spiele
385,Nico Schlotterbeck\Nico-Schlotterbeck,de GER,DF,Union Berlin,21-077,1999,4.3,6,138,4,0,0,1,0,1,1,023,1,0,0,0,0,0,0,Spiele
386,Jonathan Schmid\Jonathan-Schmid,fr FRA,DF,Freiburg,30-235,1990,15.9,33,207,23,5,1,2,1,1,5,031,3,1,0,0,0,1,0,Spiele
387,Romano Schmid\Romano-Schmid,at AUT,FWMF,Werder Bremen,21-020,2000,6.2,16,257,13,0,1,1,1,0,3,048,2,0,0,0,1,0,0,Spiele
388,Benno Schmitz\Benno-Schmitz,de GER,DF,Köln,26-091,1994,1.3,0,000,0,0,0,0,0,0,0,000,0,0,0,0,0,0,0,Spiele
389,Alessandro Schöpf\Alessandro-Schopf,at AUT,FWMF,Schalke 04,27-009,1994,7.9,10,126,7,0,1,1,1,0,0,000,0,0,0,0,0,0,0,Spiele
390,Nico Schulz\Nico-Schulz,de GER,DFMF,Dortmund,27-321,1993,1.8,2,110,2,0,0,0,0,0,1,055,1,0,0,0,0,0,0,Spiele
391,Alexander Schwolow\Alexander-Schwolow,de GER,TW,Hertha BSC,28-259,1992,18.0,1,006,0,1,0,0,0,0,0,000,0,0,0,0,0,0,0,Spiele
392,Davie Selke\Davie-Selke,de GER,FW,Werder Bremen,26-027,1995,4.4,6,135,6,0,0,0,0,0,0,000,0,0,0,0,0,0,0,Spiele
393,Suat Serdar\Suat-Serdar,de GER,MF,Schalke 04,23-311,1997,12.5,20,160,16,0,0,1,2,1,2,016,2,0,0,0,0,0,0,Spiele
394,Ryan Sessegnon\Ryan-Sessegnon,eng ENG,DF,Hoffenheim,20-274,2000,9.2,12,131,12,0,0,0,0,0,2,022,2,0,0,0,0,0,0,Spiele
395,Nils Seufert\Nils-Seufert,de GER,MFFW,Arminia,24-013,1997,3.6,5,151,3,1,0,0,1,0,1,030,1,0,0,0,0,0,0,Spiele
396,André Silva\Andre-Silva,pt POR,FW,Eint Frankfurt,25-102,1995,19.1,44,231,29,0,4,4,6,1,8,042,3,0,0,1,4,0,0,Spiele
397,Jóan Símun Edmundsson\Joan-Simun-Edmundsson,fo FRO,MFFW,Arminia,29-205,1991,0.6,0,000,0,0,0,0,0,0,0,000,0,0,0,0,0,0,0,Spiele
398,Daley Sinkgraven\Daley-Sinkgraven,nl NED,DF,Leverkusen,25-227,1995,14.7,28,191,22,4,0,0,1,1,3,020,2,0,0,0,1,0,0,Spiele
399,Tobias Sippel\Tobias-Sippel,de GER,TW,M'Gladbach,32-331,1988,1.0,0,000,0,0,0,0,0,0,0,000,0,0,0,0,0,0,0,Spiele
400,Ellyes Skhiri\Ellyes-Skhiri,tn TUN,MF,Köln,25-282,1995,19.2,20,104,16,1,0,3,0,0,2,010,1,0,0,1,0,0,0,Spiele
401,Robert Skov\Robert-Skov,dk DEN,DFFW,Hoffenheim,24-272,1996,7.1,17,239,10,6,0,1,0,0,1,014,0,0,0,1,0,0,0,Spiele
402,Steven Skrzybski\Steven-Skrzybski,de GER,FW,Schalke 04,28-090,1992,4.1,7,171,3,1,0,2,1,0,1,024,0,0,0,1,0,0,0,Spiele
403,Yann Sommer\Yann-Sommer,ch SUI,TW,M'Gladbach,32-061,1988,20.0,0,000,0,0,0,0,0,0,0,000,0,0,0,0,0,0,0,Spiele
404,Borna Sosa\Borna-Sosa,hr CRO,DF,Stuttgart,23-026,1998,13.5,41,303,32,6,0,1,2,0,5,037,4,1,0,0,0,0,0,Spiele
405,Cebio Soukou\Cebio-Soukou,bj BEN,FWMF,Arminia,28-137,1992,4.7,8,170,6,0,1,0,1,0,0,000,0,0,0,0,0,0,0,Spiele
406,Djibril Sow\Djibril-Sow,ch SUI,MF,Eint Frankfurt,24-010,1997,13.9,21,151,18,0,0,0,2,1,4,029,3,0,0,0,1,0,0,Spiele
407,Jerry St. Juste\Jerry-St-Juste,nl NED,DF,Mainz 05,24-120,1996,19.0,17,089,12,1,1,2,1,0,3,016,2,1,0,0,0,0,0,Spiele
408,Benjamin Stambouli\Benjamin-Stambouli,fr FRA,MFDF,Schalke 04,30-187,1990,15.0,13,087,11,1,0,0,0,1,2,013,2,0,0,0,0,0,0,Spiele
